"sec","power","rP","rG","pctP"
316,400,1821.22371171401,4815.46175662411,36.4244742342802
317,400,1775.87784371225,4687.41558464397,35.517556874245
318,400,1731.08875185052,4559.72985153086,34.6217750370105
319,400,1686.79194842907,4432.43308046969,33.7358389685815
320,400,1642.93320668211,4305.54494390021,32.8586641336422
321,120,1684.55682347978,4321.86208451667,33.6911364695956
322,120,1725.68595861114,4338.15432914016,34.5137191722228
323,120,1766.32619694285,4354.42171575591,35.326523938857
324,120,1806.48306401327,4370.66428229122,36.1296612802654
325,120,1846.16202661597,4386.88206661548,36.9232405323195
326,120,1885.36849337805,4403.07510654035,37.707369867561
327,120,1924.10781533327,4419.24343981975,38.4821563066653
328,120,1962.38528649015,4435.38710415004,39.247705729803
329,120,2000.206144395,4451.50613717002,40.0041228879001
330,120,2037.57557068987,4467.60057646111,40.7515114137973
331,120,2074.49869166554,4483.67045954735,41.4899738333109
332,120,2110.98057880965,4499.71582389555,42.219611576193
333,120,2147.02624934977,4515.73670691535,42.9405249869954
334,120,2182.64066679173,4531.73314595931,43.6528133358346
335,120,2217.82874145306,4547.70517832299,44.3565748290612
336,120,2252.59533099165,4563.65284124507,45.0519066198329
337,120,2286.94524092963,4579.57617190738,45.7389048185925
338,120,2320.88322517258,4595.47520743506,46.4176645034515
339,120,2354.41398652401,4611.34998489657,47.0882797304802
340,120,2387.54217719523,4627.20054130383,47.7508435439045
341,120,2420.27239931055,4643.02691361229,48.405447986211
342,120,2452.60920540801,4658.829138721,49.0521841081602
343,120,2484.55709893546,4674.60725347272,49.6911419787093
344,120,2516.12053474222,4690.36129465401,50.3224106948444
345,120,2547.30391956622,4706.09129899529,50.9460783913244
346,120,2578.11161251675,4721.79730317092,51.562232250335
347,120,2608.54792555279,4737.47934379935,52.1709585110557
348,120,2638.61712395697,4753.13745744311,52.7723424791393
349,120,2668.32342680524,4768.77168060898,53.3664685361048
350,120,2697.67100743222,4784.38204974802,53.9534201486444
351,120,2726.66399389229,4799.96860125568,54.5332798778457
352,120,2755.30646941644,4815.53137147189,55.1061293883289
353,120,2783.60247286502,4831.07039668111,55.6720494573005
354,120,2811.55599917619,4846.58571311246,56.2311199835239
355,120,2839.17099981037,4862.07735693977,56.7834199962074
356,120,2866.45138319053,4877.54536428169,57.3290276638105
357,120,2893.40101513845,4892.98977120175,57.8680203027689
358,120,2920.02371930695,4908.41061370847,58.400474386139
359,120,2946.32327760813,4923.80792775541,58.9264655521627
360,120,2972.30343063766,4939.18174924129,59.4460686127532
361,400,2800.983296337,4915.99817624347,56.01966592674
362,400,2650.87681648822,4873.34596411673,53.0175363297645
363,400,2518.92677616403,4814.21390475889,50.3785355232807
364,400,2402.5374775193,4741.13195589091,48.050749550386
365,400,2299.50419516146,4656.24168048838,45.9900839032293
366,400,2207.9534493858,4561.35587247279,44.159068987716
367,400,2126.29243700714,4458.00902876971,42.5258487401428
368,400,2053.16621438263,4347.50007298352,41.0633242876527
369,400,1987.42144295779,4230.92852020735,39.7484288591559
370,400,1928.0756902868,4109.2250898738,38.561513805736
371,400,1874.29143406198,3983.17761897354,37.4858286812396
372,400,1824.58705673954,3854.21998792253,36.4917411347908
373,400,1776.03618912577,3725.2327005862,35.5207237825154
374,400,1728.46612073725,3596.34440052492,34.5693224147449
375,400,1681.73764072056,3467.65195955784,33.6347528144112
376,400,1635.73735047576,3339.22809738791,32.7147470095152
377,400,1590.37201797323,3211.12696219011,31.8074403594647
378,400,1545.56435621555,3083.38828960712,30.9112871243109
379,400,1501.24981651502,2956.04054938153,30.0249963303004
380,400,1457.3741187932,2829.10335732237,29.147482375864
381,120,1499.30571931678,2847.67318915627,29.9861143863356
382,120,1540.76466129356,2866.2146879376,30.8152932258713
383,120,1581.75596989828,2884.72789689573,31.6351193979657
384,120,1622.28462060552,2903.21285919404,32.4456924121104
385,120,1662.35553963729,2921.66961793008,33.2471107927459
386,120,1701.97360440714,2940.09821613564,34.0394720881428
387,120,1741.14364396066,2958.49869677685,34.8228728792132
388,120,1779.87043941259,2976.87110275427,35.5974087882517
389,120,1818.15872438037,2995.21547690303,36.3631744876074
390,120,1856.01318541434,3013.53186199288,37.1202637082868
391,120,1893.43846242441,3031.82030072833,37.8687692484882
392,120,1930.4391491034,3050.08083574874,38.608782982068
393,120,1967.019793347,3068.31350962839,39.3403958669399
394,120,2003.18489767031,3086.51836487661,40.0636979534062
395,120,2038.93891962113,3104.69544393787,40.7787783924227
396,120,2074.28627218987,3122.8447891919,41.4857254437975
397,120,2109.23132421619,3140.96644295375,42.1846264843238
398,120,2143.77840079235,3159.0604474739,42.8755680158471
399,120,2177.93178366338,3177.12684493838,43.5586356732676
400,120,2211.69571162392,3195.16567746886,44.2339142324784
401,120,2245.07438091192,3213.17698712272,44.9014876182384
402,120,2278.07194559915,3231.1608158932,45.5614389119831
403,120,2310.69251797854,3249.11720570943,46.2138503595708
404,120,2342.94016894832,3267.04619843661,46.8588033789665
405,120,2374.81892839317,3284.94783587604,47.4963785678635
406,120,2406.33278556213,3302.82215976523,48.1266557112426
407,120,2437.48568944349,3320.66921177804,48.7497137888698
408,120,2468.28154913665,3338.48903352472,49.3656309827331
409,120,2498.7242342209,3356.28166655204,49.9744846844179
410,120,2528.81757512115,3374.04715234338,50.576351502423
411,120,2558.56536347077,3391.78553231884,51.1713072694153
412,120,2587.97135247132,3409.49684783529,51.7594270494265
413,120,2617.03925724946,3427.18114018654,52.3407851449891
414,120,2645.77275521075,3444.83845060337,52.915455104215
415,120,2674.17548639074,3462.46882025366,53.4835097278149
416,120,2702.25105380298,3480.07229024246,54.0450210760596
417,120,2730.00302378426,3497.64890161214,54.6000604756851
418,120,2757.43492633694,3515.19869534242,55.1486985267388
419,120,2784.55025546849,3532.7217123505,55.6910051093699
420,120,2811.35246952818,3550.21799349116,56.2270493905635
421,400,2642.67132135648,3527.03442049333,52.8534264271297
422,400,2492.51816869784,3484.38220836659,49.8503633739569
423,400,2360.52328563084,3425.25014900875,47.2104657126168
424,400,2244.09090255239,3352.16820014077,44.8818180510478
425,400,2141.01622512564,3267.27792473824,42.8203245025129
426,400,2049.42570740494,3172.39211672265,40.9885141480988
427,400,1967.72648256151,3069.04527301957,39.3545296512303
428,400,1894.56354580441,2958.53631723338,37.8912709160883
429,400,1828.78349982871,2841.96476445721,36.5756699965742
430,400,1769.40385574177,2720.26133412366,35.3880771148355
431,400,1715.58703700244,2594.2138632234,34.3117407400488
432,400,1665.87395588646,2465.23365024588,33.3174791177292
433,400,1617.31486812409,2336.22452406872,32.3462973624818
434,400,1569.73701409925,2207.31512928416,31.394740281985
435,400,1523.00114260803,2078.60233184712,30.4600228521606
436,400,1476.99382142976,1950.15884067862,29.5398764285953
437,400,1431.62179014559,1822.03878968134,28.6324358029118
438,400,1386.80773748788,1694.28189777931,27.7361547497577
439,400,1342.48709377975,1566.91661632277,26.849741875595
440,400,1298.60556059497,1439.96254163107,25.9721112118995
441,120,1340.62288802165,1460.65186491234,26.8124577604331
442,120,1382.18858794278,1481.30962131194,27.6437717588557
443,120,1423.3072036893,1501.93585899327,28.4661440737859
444,120,1463.98323654368,1522.53062604624,29.2796647308737
445,120,1504.22114608815,1543.09397048737,30.084422921763
446,120,1544.02535055034,1563.62594025995,30.8805070110068
447,120,1583.40022714659,1584.12658323409,31.6680045429319
448,120,1622.35011242282,1604.59594720689,32.4470022484564
449,120,1660.87930259293,1625.03407990249,33.2175860518586
450,120,1698.99205387491,1645.44102897224,33.9798410774982
451,120,1736.69258282447,1665.81684199478,34.7338516564894
452,120,1773.98506666638,1686.16156647615,35.4797013333275
453,120,1810.87364362336,1706.47524984992,36.2174728724672
454,120,1847.36241324274,1726.75793947727,36.9472482648547
455,120,1883.45543672068,1747.00968264714,37.6691087344135
456,120,1919.15673722415,1767.2305265763,38.3831347444829
457,120,1954.47030021055,1787.42051840949,39.089406004211
